Institution,Country,Year,Best Rank,Worst Rank,Highest Score,Lowest Score,Teaching,Research,Citations,Industry Income,International Outlook,FTE Enrollment,Students per Staff,International Enrollment,Pct Women,Score,Rank
Universitas Gadjah Mada,Indonesia,2019,1001,1257,18.9,9.8,19.6,10.1,12.8,61.2,32.9,41201,10.5,0.01,0.54,16.7475,1084.0
Gazi University,Turkey,2019,1001,1257,18.9,9.8,19.1,10.7,12.9,38.4,16.2,79733,31.5,0.03,0.49,14.985,1144.0
"G.B. Pant University of Agriculture & Technology, Pantnagar",India,2019,1001,1257,18.9,9.8,22.9,7.5,5.2,37.8,12.7,4389,7.5,,0.43,12.5775,1221.0
University of Gdańsk,Poland,2019,1001,1257,18.9,9.8,14.9,10.0,20.2,34.1,28.2,29683,17.6,0.02,0.61,16.4975,1096.0
Gdańsk University of Technology,Poland,2019,1001,1257,18.9,9.8,13.9,10.5,29.1,37.7,20.0,23017,18.7,0.02,0.4,18.4925,1019.0
Gifu University,Japan,2019,1001,1257,18.9,9.8,22.4,10.9,15.3,36.7,22.2,7161,7.9,0.04,0.35,17.1625,1067.0
GITAM University,India,2019,1001,1257,18.9,9.8,14.9,7.4,8.7,34.8,18.6,16223,14.7,0.02,0.32,11.564999999999998,1241.0
Government College University Lahore,Pakistan,2019,1001,1257,18.9,9.8,16.6,9.7,4.3,34.1,40.3,8841,33.5,0.01,0.43,13.055,1208.0
Grigore T. Popa University of Medicine and Pharmacy,Romania,2019,1001,1257,18.9,9.8,17.1,7.6,10.6,34.2,46.0,9602,11.4,0.29,0.66,14.895,1148.0
University of Guadalajara,Mexico,2019,1001,1257,18.9,9.8,14.6,7.6,10.8,34.0,29.0,120298,52.4,,0.52,12.924999999999999,1211.0
University of Guanajuato,Mexico,2019,1001,1257,18.9,9.8,15.0,7.8,14.3,34.0,32.9,24798,16.6,0.01,0.52,14.447499999999998,1158.0
Guangxi University,China,2019,1001,1257,18.9,9.8,14.5,9.6,11.5,42.6,20.6,34199,15.8,0.05,0.46,13.29,1191.0
Gunma University,Japan,2019,1001,1257,18.9,9.8,26.0,13.6,14.3,36.8,18.8,6362,7.3,0.03,0.37,18.5,1018.0
Hallym University,South Korea,2019,1001,1257,18.9,9.8,18.2,14.8,14.6,35.2,20.3,8372,9.8,0.04,,16.6825,1086.0
Harbin Engineering University,China,2019,1001,1257,18.9,9.8,20.7,19.0,11.5,80.5,16.1,24124,14.1,0.02,0.26,18.58,1016.0
Hashemite University,Jordan,2019,1001,1257,18.9,9.8,12.4,9.7,6.1,34.0,47.0,16879,16.8,0.04,0.58,12.834999999999999,1215.0
Helwan University,Egypt,2019,1001,1257,18.9,9.8,15.7,7.5,17.7,34.3,40.2,154964,36.0,0.01,0.58,16.1425,1112.0
Hosei University,Japan,2019,1001,1257,18.9,9.8,15.6,9.1,23.8,34.9,23.6,30364,41.0,0.02,0.36,17.1925,1065.0
Huaqiao University,China,2019,1001,1257,18.9,9.8,12.8,9.4,20.5,38.1,45.1,29637,17.8,0.11,0.49,17.145,1069.0
University of Hyogo,Japan,2019,1001,1257,18.9,9.8,16.1,12.9,10.2,44.6,17.5,6607,14.0,0.02,0.39,14.187499999999998,1167.0
Ibaraki University,Japan,2019,1001,1257,18.9,9.8,16.9,9.3,9.0,37.4,22.4,8153,12.0,0.03,0.35,13.174999999999999,1199.0
Imam Abdulrahman Bin Faisal University,Saudi Arabia,2019,1001,1257,18.9,9.8,19.3,7.2,7.0,34.5,72.0,28627,10.6,0.03,0.78,16.3125,1100.0
Incheon National University,South Korea,2019,1001,1257,18.9,9.8,16.4,12.9,21.3,36.2,31.6,13807,23.0,0.02,0.44,18.455000000000002,1020.0
I-Shou University,Taiwan,2019,1001,1257,18.9,9.8,13.2,15.4,13.6,47.3,27.7,16425,31.1,0.09,0.47,15.92,1123.0
Ivane Javakhishvili Tbilisi State University,Georgia,2019,1001,1257,18.9,9.8,15.2,9.0,2.9,34.4,44.6,20225,24.8,0.02,0.62,12.334999999999999,1228.0
Ivan Franko National University of Lviv,Ukraine,2019,1001,1257,18.9,9.8,19.7,7.6,3.2,34.0,36.4,18210,9.6,0.01,0.75,12.729999999999999,1217.0
Iwate University,Japan,2019,1001,1257,18.9,9.8,18.3,9.8,15.0,43.0,21.6,5626,14.7,0.03,0.37,15.625,1128.0
Izmir Institute of Technology,Turkey,2019,1001,1257,18.9,9.8,15.8,10.3,25.3,41.9,30.2,5035,22.7,0.03,0.46,18.732499999999998,1011.0
Kagoshima University,Japan,2019,1001,1257,18.9,9.8,20.9,11.5,16.8,41.9,21.4,10498,10.2,0.03,0.38,17.412499999999998,1054.0
Kanagawa University,Japan,2019,1001,1257,18.9,9.8,13.9,7.2,11.9,34.0,28.0,18541,13.8,0.03,0.28,12.85,1214.0
Kansai University,Japan,2019,1001,1257,18.9,9.8,23.4,7.9,5.2,35.1,22.7,30401,12.0,0.03,0.39,13.530000000000001,1187.0
Kasetsart University,Thailand,2019,1001,1257,18.9,9.8,17.2,11.4,10.3,56.5,36.1,68213,22.9,0.01,0.62,15.789999999999997,1126.0
Kaunas University of Technology,Lithuania,2019,1001,1257,18.9,9.8,15.6,11.1,4.1,37.5,24.9,10146,14.0,0.05,0.38,12.045,1236.0
Kazan National Research Technological University,Russian Federation,2019,1001,1257,18.9,9.8,16.1,7.3,17.4,48.0,23.5,15631,10.6,0.1,0.47,15.202499999999997,1139.0
University of Kerala,India,2019,1001,1257,18.9,9.8,32.3,8.4,11.9,34.2,13.8,8210,19.3,,0.56,17.669999999999998,1046.0
Kharazmi University,Iran,2019,1001,1257,18.9,9.8,19.0,9.0,19.1,35.4,15.9,13129,20.7,0.01,0.57,16.207500000000003,1106.0
Khon Kaen University,Thailand,2019,1001,1257,18.9,9.8,21.5,11.0,17.2,49.8,31.5,36280,18.5,0.02,0.56,18.517500000000002,1017.0
King Mongkut’s Institute of Technology Ladkrabang,Thailand,2019,1001,1257,18.9,9.8,15.4,20.2,6.7,84.0,18.3,22938,22.4,,0.53,16.1625,1109.0
King Mongkut's University of Technology North Bangkok,Thailand,2019,1001,1257,18.9,9.8,15.4,9.0,13.3,38.4,21.6,25542,24.1,,0.4,13.89,1179.0
Kitasato University,Japan,2019,1001,1257,18.9,9.8,23.5,9.2,18.8,41.9,15.7,8539,5.3,,0.53,17.674999999999997,1044.0
KIIT University,India,2019,1001,1257,18.9,9.8,15.3,7.5,24.4,34.3,15.1,19633,14.0,0.02,0.37,16.15,1111.0
Kogakuin University,Japan,2019,1001,1257,18.9,9.8,15.5,9.3,9.1,40.7,17.8,6531,17.0,0.01,0.15,12.522499999999999,1225.0
Kookmin University,South Korea,2019,1001,1257,18.9,9.8,17.5,9.6,17.0,36.9,27.5,17299,11.1,0.09,0.45,16.215,1104.0
Kwansei Gakuin University,Japan,2019,1001,1257,18.9,9.8,14.1,8.3,10.7,34.7,30.4,23965,21.1,0.03,0.48,13.077499999999999,1205.0
Kyoto Institute of Technology,Japan,2019,1001,1257,18.9,9.8,20.2,15.1,11.2,41.7,21.0,4060,13.2,0.05,0.27,16.5675,1091.0
University of Lahore,Pakistan,2019,1001,1257,18.9,9.8,13.3,8.7,27.1,34.1,33.9,24674,14.3,0.02,0.35,18.125,1030.0
University of León,Spain,2019,1001,1257,18.9,9.8,17.4,10.1,23.6,35.7,34.1,12303,14.6,0.05,0.56,18.78,1008.0
L.N. Gumilyov Eurasian National University,Kazakhstan,2019,1001,1257,18.9,9.8,21.7,7.6,12.6,34.0,48.1,16155,4.9,0.03,,17.0275,1073.0
Lobachevsky State University of Nizhni Novgorod,Russian Federation,2019,1001,1257,18.9,9.8,23.6,10.7,13.0,43.2,27.6,18205,8.0,0.07,0.53,17.339999999999996,1055.0
University of Łódź,Poland,2019,1001,1257,18.9,9.8,15.9,10.0,13.1,34.1,22.9,33758,15.2,0.04,0.65,14.27,1165.0
Łodz University of Technology,Poland,2019,1001,1257,18.9,9.8,15.9,10.6,15.9,36.8,21.6,17115,13.1,0.03,0.41,15.26,1137.0
London South Bank University,United Kingdom,2019,1001,1257,18.9,9.8,14.5,10.0,15.8,34.5,71.3,11965,17.1,0.34,0.56,18.3,1024.0
Londrina State University,Brazil,2019,1001,1257,18.9,9.8,21.3,19.5,14.0,34.0,17.5,23392,13.7,0.01,0.57,18.6025,1014.0
Lviv Polytechnic National University,Ukraine,2019,1001,1257,18.9,9.8,17.7,8.7,20.9,34.5,24.1,22520,11.0,0.01,0.39,16.86,1082.0
Maharaja Sayajirao University of Baroda,India,2019,1001,1257,18.9,9.8,12.6,8.6,13.7,34.5,13.9,34111,27.3,,0.58,12.375,1227.0
Mahasarakham University,Thailand,2019,1001,1257,18.9,9.8,13.3,7.1,6.3,34.8,23.6,43552,34.4,,0.63,10.649999999999999,1254.0
Manipal Academy of Higher Education,India,2019,1001,1257,18.9,9.8,20.2,9.5,6.5,34.1,26.6,25145,9.7,0.08,0.43,13.7075,1182.0
Marmara University,Turkey,2019,1001,1257,18.9,9.8,13.5,7.3,18.4,34.0,22.2,72603,35.7,0.04,0.52,14.274999999999999,1164.0
Meiji University,Japan,2019,1001,1257,18.9,9.8,14.7,11.3,13.8,72.7,24.1,32270,29.8,0.04,0.32,15.565,1130.0
Meijo University,Japan,2019,1001,1257,18.9,9.8,14.7,9.6,8.8,35.2,23.5,15422,32.6,0.02,0.27,12.5725,1222.0
Menoufia University,Egypt,2019,1001,1257,18.9,9.8,13.4,7.4,15.5,36.6,36.0,82327,38.7,0.01,0.44,14.504999999999999,1156.0
Michoacán University of San Nicolás of Hidalgo,Mexico,2019,1001,1257,18.9,9.8,17.0,8.9,11.0,35.0,29.8,39392,29.0,0.01,0.51,14.18,1168.0
Ming Chuan University,Taiwan,2019,1001,1257,18.9,9.8,12.2,10.3,6.9,34.8,29.1,18800,22.7,0.11,0.6,11.8725,1239.0
Minia University,Egypt,2019,1001,1257,18.9,9.8,14.3,7.0,13.2,34.1,44.6,58870,15.9,0.01,0.61,14.5475,1155.0
University of Miyazaki,Japan,2019,1001,1257,18.9,9.8,20.4,9.4,19.5,35.9,21.4,5507,8.3,0.02,0.35,17.2925,1057.0
University of Monastir,Tunisia,2019,1001,1257,18.9,9.8,19.8,8.6,12.6,34.0,41.8,21267,11.3,0.01,0.68,16.285,1101.0
Moscow Aviation Institute,Russian Federation,2019,1001,1257,18.9,9.8,23.4,11.1,1.8,53.8,22.6,15263,10.5,0.09,0.28,13.930000000000001,1177.0
Moscow Power Engineering Institute,Russian Federation,2019,1001,1257,18.9,9.8,18.4,24.1,2.6,53.9,27.4,11252,15.4,0.09,0.38,16.932499999999997,1078.0
Moscow Technological University,Russian Federation,2019,1001,1257,18.9,9.8,13.3,9.2,6.4,58.6,18.0,16441,14.9,0.03,0.31,11.485,1243.0
Muroran Institute of Technology,Japan,2019,1001,1257,18.9,9.8,14.2,9.3,22.4,38.2,28.5,3320,18.0,0.04,0.09,16.862499999999997,1081.0
University of Mysore,India,2019,1001,1257,18.9,9.8,33.0,9.1,4.7,34.3,27.5,7944,20.3,0.08,0.43,16.96,1076.0
Nagaoka University of Technology,Japan,2019,1001,1257,18.9,9.8,21.7,13.5,12.2,39.8,32.4,2388,10.3,0.12,0.11,17.645,1047.0
Nagoya Institute of Technology,Japan,2019,1001,1257,18.9,9.8,18.1,14.0,14.7,53.4,22.0,5637,16.1,0.04,0.14,17.025,1074.0
University of Nairobi,Kenya,2019,1001,1257,18.9,9.8,13.7,10.4,16.8,35.1,46.8,72466,40.4,0.01,0.36,16.6575,1088.0
Nara Medical University,Japan,2019,1001,1257,18.9,9.8,24.4,10.8,17.5,39.8,15.0,1202,3.6,0.01,0.48,17.93,1039.0
Naresuan University,Thailand,2019,1001,1257,18.9,9.8,16.1,7.3,13.3,35.0,33.6,23232,15.8,0.01,0.66,14.405,1161.0
National Changhua University of Education,Taiwan,2019,1001,1257,18.9,9.8,17.2,18.0,11.5,37.4,22.9,8124,21.4,0.08,0.53,16.662499999999998,1087.0
National Chiayi University,Taiwan,2019,1001,1257,18.9,9.8,13.8,12.6,6.0,64.0,17.2,12537,26.0,0.04,0.48,12.609999999999998,1220.0
National Chung Cheng University,Taiwan,2019,1001,1257,18.9,9.8,16.9,18.0,13.3,40.6,19.7,14278,19.9,0.04,0.37,16.952499999999997,1077.0
National University of Colombia,Colombia,2019,1001,1257,18.9,9.8,19.3,14.7,13.0,34.2,36.2,51844,22.0,0.01,0.38,17.67,1045.0
National University of Córdoba,Argentina,2019,1001,1257,18.9,9.8,19.4,9.4,21.0,34.7,32.8,64491,11.5,0.02,0.63,18.2675,1025.0
National University of Kaohsiung,Taiwan,2019,1001,1257,18.9,9.8,11.8,15.2,7.9,37.5,24.2,5599,23.5,0.04,0.41,13.222499999999998,1195.0
National University of La Plata,Argentina,2019,1001,1257,18.9,9.8,16.1,10.4,13.4,36.0,35.3,118688,23.9,0.05,0.56,15.517499999999998,1131.0
National Polytechnic University (IPN),Mexico,2019,1001,1257,18.9,9.8,17.8,9.2,10.0,35.3,21.2,178492,10.5,,0.38,13.5725,1186.0
National Research University of Electronic Technology (MIET),Russian Federation,2019,1001,1257,18.9,9.8,17.6,13.7,4.2,35.8,24.0,4197,11.6,0.03,0.31,13.344999999999999,1190.0
National Research Saratov State University,Russian Federation,2019,1001,1257,18.9,9.8,20.7,13.1,16.6,37.6,31.2,8756,9.7,0.06,0.6,18.400000000000002,1021.0
National University of the South,Argentina,2019,1001,1257,18.9,9.8,26.3,10.0,7.9,34.0,24.9,20325,6.9,0.01,0.58,15.977500000000001,1120.0
Nicolaus Copernicus University in Toruń,Poland,2019,1001,1257,18.9,9.8,17.9,9.8,22.4,35.0,24.6,23670,12.0,0.02,0.69,17.749999999999996,1042.0
University of Nigeria Nsukka,Nigeria,2019,1001,1257,18.9,9.8,22.3,8.4,3.6,35.0,21.7,32429,14.2,0.01,0.48,12.7925,1216.0
North China Electric Power University,China,2019,1001,1257,18.9,9.8,15.5,14.9,18.1,34.0,15.4,30412,16.7,0.01,0.35,16.555,1092.0
Ochanomizu University,Japan,2019,1001,1257,18.9,9.8,26.5,11.7,12.6,36.2,24.1,2947,14.2,0.05,1.0,17.9525,1038.0
Oita University,Japan,2019,1001,1257,18.9,9.8,18.7,8.9,13.2,36.7,17.6,5682,9.4,0.01,0.37,14.4775,1157.0
Ondokuz Mayis University,Turkey,2019,1001,1257,18.9,9.8,14.1,8.3,4.9,37.5,20.3,33790,30.5,0.06,0.52,10.649999999999999,1254.0
Osaka Prefecture University,Japan,2019,1001,1257,18.9,9.8,20.8,14.0,19.0,42.5,20.8,7794,10.0,0.04,0.36,18.7625,1009.0
University of Pardubice,Czech Republic,2019,1001,1257,18.9,9.8,16.5,13.6,10.8,34.7,25.8,7807,14.5,0.06,0.55,15.072500000000002,1141.0
Perm National Research Polytechnic University,Russian Federation,2019,1001,1257,18.9,9.8,18.2,9.1,1.5,55.9,17.6,9509,9.0,0.05,0.38,11.357499999999998,1246.0
Perm State University,Russian Federation,2019,1001,1257,18.9,9.8,16.0,10.2,3.9,40.7,19.3,12452,14.2,0.01,0.65,11.495,1242.0
Pirogov Russian National Research Medical University,Russian Federation,2019,1001,1257,18.9,9.8,24.2,8.6,3.8,37.1,24.8,8608,5.7,0.07,0.73,13.7675,1180.0
PMAS Arid Agriculture University Rawalpindi,Pakistan,2019,1001,1257,18.9,9.8,13.6,8.2,11.1,34.0,31.6,10919,45.5,,0.39,13.089999999999998,1202.0
Pontifical Bolivarian University (UPB) – Medellín,Colombia,2019,1001,1257,18.9,9.8,16.0,8.0,4.8,36.3,35.1,13748,11.3,0.01,0.56,12.18,1233.0
Pontifical Catholic University of Paraná,Brazil,2019,1001,1257,18.9,9.8,15.4,9.4,16.1,36.1,24.7,25198,25.8,0.01,0.52,15.024999999999999,1142.0
Pontifical Catholic University of Valparaíso,Chile,2019,1001,1257,18.9,9.8,15.3,14.3,13.8,46.9,48.7,15165,23.1,0.01,0.43,17.845,1041.0
Prince of Songkla University,Thailand,2019,1001,1257,18.9,9.8,15.1,9.0,21.5,36.2,31.7,41469,18.0,0.02,0.69,16.962500000000002,1075.0
PSG College of Technology,India,2019,1001,1257,18.9,9.8,13.3,9.3,13.0,34.6,13.4,8283,15.3,,0.38,12.549999999999999,1224.0
Rio de Janeiro State University (UERJ),Brazil,2019,1001,1257,18.9,9.8,23.0,10.7,12.1,41.4,21.0,22918,8.7,,0.57,16.349999999999998,1098.0
Ritsumeikan University,Japan,2019,1001,1257,18.9,9.8,17.2,11.2,14.0,34.9,31.6,32739,17.0,0.05,0.36,15.9625,1121.0
University of the Ryukyus,Japan,2019,1001,1257,18.9,9.8,18.3,11.1,11.4,42.3,25.4,8184,10.9,0.02,0.38,15.202499999999999,1138.0
Saga University,Japan,2019,1001,1257,18.9,9.8,20.7,11.8,17.6,48.2,23.1,6994,9.9,0.02,0.38,17.9675,1036.0
Saitama Medical University,Japan,2019,1001,1257,18.9,9.8,23.5,9.0,21.2,37.7,14.6,1889,1.5,,0.52,18.147499999999997,1028.0
"University of Santiago, Chile (USACH)",Chile,2019,1001,1257,18.9,9.8,15.1,11.4,12.1,34.1,46.2,24606,25.9,0.02,0.4,15.897499999999997,1124.0
SASTRA University,India,2019,1001,1257,18.9,9.8,14.3,8.7,17.3,34.4,13.2,12997,16.5,,0.5,13.94,1176.0
Sathyabama Institute of Science and Technology,India,2019,1001,1257,18.9,9.8,15.9,8.4,3.4,34.5,15.0,15886,19.5,0.01,0.48,10.2975,1256.0
University of Sciences and Technology Houari Boumediene,Algeria,2019,1001,1257,18.9,9.8,15.6,7.9,8.9,34.0,35.2,35418,19.0,0.01,,13.209999999999999,1196.0
Sechenov University,Russian Federation,2019,1001,1257,18.9,9.8,21.8,8.6,1.4,35.9,29.7,15320,8.5,0.13,0.79,12.665,1219.0
Seoul National University of Science and Technology (SeoulTech),South Korea,2019,1001,1257,18.9,9.8,22.2,15.6,15.0,39.2,19.8,12407,17.3,0.03,0.34,18.305,1023.0
Sepuluh Nopember Institute of Technology,Indonesia,2019,1001,1257,18.9,9.8,16.1,9.2,20.6,52.5,29.6,16712,13.2,0.03,0.4,17.302500000000002,1056.0
Shahid Bahonar University of Kerman,Iran,2019,1001,1257,18.9,9.8,14.6,11.4,11.5,35.6,14.1,14635,22.2,,0.56,13.1975,1197.0
Shahrood University of Technology,Iran,2019,1001,1257,18.9,9.8,14.1,12.5,15.1,35.5,15.8,8453,27.0,,0.46,14.582499999999998,1154.0
Shanghai Maritime University,China,2019,1001,1257,18.9,9.8,13.5,9.3,23.4,46.6,33.2,23281,18.0,0.03,0.4,17.515,1051.0
Shibaura Institute of Technology Tokyo,Japan,2019,1001,1257,18.9,9.8,17.4,12.5,8.0,38.3,34.8,7287,23.9,0.13,0.19,14.937499999999998,1146.0
Shimane University,Japan,2019,1001,1257,18.9,9.8,22.6,10.9,12.0,37.5,19.3,6125,7.9,0.02,0.36,16.035,1117.0
Shizuoka University,Japan,2019,1001,1257,18.9,9.8,17.1,12.9,13.9,38.4,25.4,9932,13.7,0.03,0.29,16.035,1117.0
University of Shizuoka,Japan,2019,1001,1257,18.9,9.8,20.0,11.9,13.3,37.4,20.6,2937,11.4,0.04,0.6,16.04,1115.0
Showa University,Japan,2019,1001,1257,18.9,9.8,30.3,8.6,16.8,36.3,16.1,3650,2.0,,0.58,18.825,1003.0
Siberian Federal University,Russian Federation,2019,1001,1257,18.9,9.8,16.8,10.8,6.8,52.6,19.9,26705,15.9,0.03,0.5,13.1275,1200.0
University of Silesia in Katowice,Poland,2019,1001,1257,18.9,9.8,17.4,8.5,18.7,34.1,23.0,25546,13.5,0.03,0.67,15.9575,1122.0
Simón Bolívar University,Venezuela,2019,1001,1257,18.9,9.8,16.0,8.4,16.8,49.5,44.4,11040,14.9,,0.44,16.9275,1080.0
University of the Sinos Valley,Brazil,2019,1001,1257,18.9,9.8,20.8,14.2,14.7,34.9,19.3,13475,21.1,0.01,0.52,17.23,1062.0
Slovak University of Technology in Bratislava,Slovakia,2019,1001,1257,18.9,9.8,20.3,11.1,9.9,36.5,26.5,14579,13.0,0.02,0.34,15.290000000000001,1136.0
Sofia University,Bulgaria,2019,1001,1257,18.9,9.8,18.4,9.5,12.6,35.2,42.1,23029,14.4,0.05,0.65,16.1875,1107.0
University of Sonora,Mexico,2019,1001,1257,18.9,9.8,12.8,7.2,6.9,34.0,27.5,29921,20.9,0.01,0.53,10.9825,1249.0
Sophia University,Japan,2019,1001,1257,18.9,9.8,18.4,11.3,11.6,35.3,39.3,13281,24.5,0.09,0.54,16.22,1103.0
University of South Africa,South Africa,2019,1001,1257,18.9,9.8,20.2,15.8,9.9,34.9,35.0,163520,106.7,0.08,0.67,17.267500000000002,1060.0
University of South China,China,2019,1001,1257,18.9,9.8,21.6,6.9,8.1,35.5,14.9,21927,3.6,0.01,0.44,12.985,1210.0
Southern Federal University,Russian Federation,2019,1001,1257,18.9,9.8,21.3,9.7,12.9,42.0,25.3,17627,8.3,0.08,0.51,16.1175,1113.0
University of Southern Mississippi,United States,2019,1001,1257,18.9,9.8,19.8,11.3,22.0,38.3,26.4,13562,18.5,0.04,0.64,18.8675,1002.0
South Valley University,Egypt,2019,1001,1257,18.9,9.8,10.7,7.1,23.2,34.1,44.8,46462,55.9,,0.62,16.5125,1094.0
Southwest Jiaotong University,China,2019,1001,1257,18.9,9.8,16.7,15.4,12.8,37.7,23.3,36351,16.0,0.02,0.25,16.16,1110.0
Srinakharinwirot University,Thailand,2019,1001,1257,18.9,9.8,15.0,7.8,11.1,34.2,20.5,23105,19.5,,0.66,12.5625,1223.0
SRM Institute of Science and Technology’,India,2019,1001,1257,18.9,9.8,14.2,7.8,14.0,34.2,16.4,47375,16.4,0.02,0.21,12.885000000000002,1212.0
State University of Maringá,Brazil,2019,1001,1257,18.9,9.8,20.7,10.0,6.4,34.4,16.0,20522,11.4,0.01,0.55,13.19,1198.0
State University of Ponta Grossa,Brazil,2019,1001,1257,18.9,9.8,17.3,18.8,16.8,34.0,16.5,10378,10.8,,0.57,17.957500000000003,1037.0
Western Paraná State University,Brazil,2019,1001,1257,18.9,9.8,21.8,7.3,2.9,34.1,13.7,10919,4.1,,0.59,11.48,1244.0
St Petersburg Electrotechnical University (LETI),Russian Federation,2019,1001,1257,18.9,9.8,18.8,10.4,19.5,57.6,26.2,8418,13.1,0.12,0.3,18.015,1034.0
Tamil Nadu Agricultural University,India,2019,1001,1257,18.9,9.8,26.0,9.1,1.8,39.2,14.3,5893,7.3,,0.62,13.1225,1201.0
Tamkang University,Taiwan,2019,1001,1257,18.9,9.8,14.9,12.2,11.2,35.7,27.5,27041,23.9,0.07,0.48,14.444999999999999,1159.0
University of Tarapacá,Chile,2019,1001,1257,18.9,9.8,11.4,11.6,11.4,34.0,48.4,8857,25.0,0.02,0.54,14.799999999999999,1150.0
Taras Shevchenko National University of Kyiv,Ukraine,2019,1001,1257,18.9,9.8,24.8,9.9,9.5,34.7,33.0,22400,8.8,0.04,0.57,16.6025,1089.0
Technical University of Košice,Slovakia,2019,1001,1257,18.9,9.8,19.6,11.5,13.7,42.9,22.7,9013,11.6,0.05,0.29,16.215,1104.0
Technical University of Liberec,Czech Republic,2019,1001,1257,18.9,9.8,17.9,11.7,5.3,39.6,34.6,5706,11.0,0.11,0.55,14.055,1172.0
Universiti Teknologi MARA,Malaysia,2019,1001,1257,18.9,9.8,16.3,10.8,10.4,34.4,18.6,54418,16.4,,0.66,13.504999999999999,1189.0
Thammasat University,Thailand,2019,1001,1257,18.9,9.8,18.4,14.2,11.4,54.5,35.0,33023,12.2,0.01,0.63,17.1875,1066.0
University of Tlemcen,Algeria,2019,1001,1257,18.9,9.8,30.4,9.2,5.2,34.1,39.7,44100,24.3,0.01,0.72,17.27,1059.0
TOBB University of Economics and Technology,Turkey,2019,1001,1257,18.9,9.8,15.2,10.9,27.1,34.7,25.4,5474,16.5,0.01,0.46,18.7325,1010.0
Tokai University,Japan,2019,1001,1257,18.9,9.8,17.8,9.1,18.0,36.0,22.1,30070,12.9,0.02,0.26,16.0275,1119.0
Tokyo University of Agriculture,Japan,2019,1001,1257,18.9,9.8,16.5,9.6,9.9,36.1,18.1,12145,34.9,0.02,0.41,13.06,1207.0
Tokyo City University,Japan,2019,1001,1257,18.9,9.8,15.4,9.4,9.4,42.4,18.4,7760,15.9,0.01,0.23,12.700000000000001,1218.0
Tokyo Denki University,Japan,2019,1001,1257,18.9,9.8,14.2,8.7,2.3,37.8,17.6,9315,25.2,0.02,0.11,9.825,1257.0
Tokyo University of Marine Science and Technology,Japan,2019,1001,1257,18.9,9.8,22.7,14.0,9.5,50.3,31.1,2686,11.0,0.07,0.33,17.45,1052.0
Tomas Bata University in Zlín,Czech Republic,2019,1001,1257,18.9,9.8,14.8,15.8,14.4,35.7,37.4,8804,20.2,0.1,0.59,17.197499999999998,1064.0
Tottori University,Japan,2019,1001,1257,18.9,9.8,21.9,10.1,11.5,36.0,18.8,6094,8.2,0.02,0.36,15.36,1135.0
University of Toyama,Japan,2019,1001,1257,18.9,9.8,20.2,12.5,15.4,44.1,26.7,9289,12.0,0.03,0.4,17.535,1049.0
Toyo University,Japan,2019,1001,1257,18.9,9.8,14.2,9.0,6.5,34.8,32.1,30484,31.0,0.04,0.41,12.187499999999998,1232.0
University of Tunis El Manar,Tunisia,2019,1001,1257,18.9,9.8,27.1,9.2,13.8,34.0,38.8,34455,10.3,0.01,0.67,18.790000000000003,1006.0
Université Hassan II de Casablanca,Morocco,2019,1001,1257,18.9,9.8,14.7,6.9,19.5,34.4,38.0,100095,30.7,0.02,0.53,16.04,1115.0
Universiti Malaysia Sarawak (UNIMAS),Malaysia,2019,1001,1257,18.9,9.8,15.6,8.6,8.6,34.3,37.7,15426,19.2,0.05,0.65,13.525,1188.0
Ural Federal University,Russian Federation,2019,1001,1257,18.9,9.8,22.0,14.6,7.5,48.4,42.3,24406,10.9,0.09,0.49,17.6125,1048.0
Urmia University,Iran,2019,1001,1257,18.9,9.8,22.6,11.9,13.2,35.7,14.2,13569,27.8,,0.5,16.2675,1102.0
Utsunomiya University,Japan,2019,1001,1257,18.9,9.8,16.7,10.0,5.4,35.9,23.9,4989,13.8,0.05,0.37,12.32,1229.0
University of Valparaíso,Chile,2019,1001,1257,18.9,9.8,13.5,9.2,17.1,34.3,47.0,16535,17.9,0.03,0.57,16.322499999999998,1099.0
University of Veracruz,Mexico,2019,1001,1257,18.9,9.8,14.2,8.4,4.6,34.0,23.9,61886,13.6,,0.53,10.8025,1251.0
"University of Veterinary and Animal Sciences, Lahore",Pakistan,2019,1001,1257,18.9,9.8,14.4,9.3,6.3,36.3,33.9,5255,28.9,0.01,0.47,12.450000000000001,1226.0
V.N. Karazin Kharkiv National University,Ukraine,2019,1001,1257,18.9,9.8,19.0,9.0,3.1,34.3,52.5,16069,10.1,0.29,0.55,14.125,1169.0
Volgograd State Technical University,Russian Federation,2019,1001,1257,18.9,9.8,14.9,8.3,7.9,40.9,20.4,13061,12.5,0.07,0.39,11.8825,1238.0
Voronezh State University,Russian Federation,2019,1001,1257,18.9,9.8,19.5,8.3,3.8,34.6,26.3,15490,11.4,0.1,0.57,12.3175,1230.0
VŠB - Technical University of Ostrava,Czech Republic,2019,1001,1257,18.9,9.8,20.8,11.2,13.5,40.3,33.4,14835,17.3,0.1,0.36,17.162499999999998,1068.0
University of West Bohemia,Czech Republic,2019,1001,1257,18.9,9.8,17.2,13.5,16.0,38.4,28.1,11984,17.5,0.04,0.52,17.0775,1071.0
West University of Timi?oara,Romania,2019,1001,1257,18.9,9.8,16.0,10.7,20.1,34.3,31.8,14189,18.3,0.04,0.64,17.2825,1058.0
